,year,state,month,number,date
0,1998,Acre,1,0.0,1998-01-01
1,1999,Acre,1,0.0,1999-01-01
2,2000,Acre,1,0.0,2000-01-01
3,2001,Acre,1,0.0,2001-01-01
4,2002,Acre,1,0.0,2002-01-01
5,2003,Acre,1,10.0,2003-01-01
6,2004,Acre,1,0.0,2004-01-01
7,2005,Acre,1,12.0,2005-01-01
8,2006,Acre,1,4.0,2006-01-01
9,2007,Acre,1,0.0,2007-01-01
10,2008,Acre,1,0.0,2008-01-01
11,2009,Acre,1,0.0,2009-01-01
12,2010,Acre,1,1.0,2010-01-01
13,2011,Acre,1,0.0,2011-01-01
14,2012,Acre,1,0.0,2012-01-01
15,2013,Acre,1,0.0,2013-01-01
16,2014,Acre,1,0.0,2014-01-01
17,2015,Acre,1,1.0,2015-01-01
18,2016,Acre,1,12.0,2016-01-01
19,2017,Acre,1,0.0,2017-01-01
20,1998,Acre,2,0.0,1998-01-01
21,1999,Acre,2,0.0,1999-01-01
22,2000,Acre,2,0.0,2000-01-01
23,2001,Acre,2,0.0,2001-01-01
24,2002,Acre,2,1.0,2002-01-01
25,2003,Acre,2,0.0,2003-01-01
26,2004,Acre,2,3.0,2004-01-01
27,2005,Acre,2,0.0,2005-01-01
28,2006,Acre,2,0.0,2006-01-01
29,2007,Acre,2,5.0,2007-01-01
30,2008,Acre,2,0.0,2008-01-01
31,2009,Acre,2,2.0,2009-01-01
32,2010,Acre,2,0.0,2010-01-01
33,2011,Acre,2,0.0,2011-01-01
34,2012,Acre,2,0.0,2012-01-01
35,2013,Acre,2,0.0,2013-01-01
36,2014,Acre,2,0.0,2014-01-01
37,2015,Acre,2,2.0,2015-01-01
38,2016,Acre,2,5.0,2016-01-01
39,2017,Acre,2,1.0,2017-01-01
40,1998,Acre,3,0.0,1998-01-01
41,1999,Acre,3,0.0,1999-01-01
42,2000,Acre,3,11.0,2000-01-01
43,2001,Acre,3,0.0,2001-01-01
44,2002,Acre,3,0.0,2002-01-01
